bare_form,accented_form,suffix,translations,is_incomparable,usage,nom_m,nom_m_tags,nom_f,nom_f_tags,nom_n,nom_n_tags,nom_pl,nom_pl_tags,gen_m,gen_m_tags,gen_f,gen_f_tags,gen_n,gen_n_tags,gen_pl,gen_pl_tags,dat_m,dat_m_tags,dat_f,dat_f_tags,dat_n,dat_n_tags,dat_pl,dat_pl_tags,acc_m,acc_m_tags,acc_f,acc_f_tags,acc_n,acc_n_tags,acc_pl,acc_pl_tags,inst_m,inst_m_tags,inst_f,inst_f_tags,inst_n,inst_n_tags,inst_pl,inst_pl_tags,prep_m,prep_m_tags,prep_f,prep_f_tags,prep_n,prep_n_tags,prep_pl,prep_pl_tags,short_m,short_m_tags,short_f,short_f_tags,short_n,short_n_tags,short_pl,short_pl_tags,comparative,comparative_tags,superlative,superlative_tags,irreg_decl,accent_chg,multi_vars
автобусный,авто'бусный,ный,bus,False,,авто'бусный,,авто'бусная,,авто'бусное,,авто'бусные,,авто'бусного,,авто'бусной,,авто'бусного,,авто'бусных,,авто'бусному,,авто'бусной,,авто'бусному,,авто'бусным,,авто'бусный/авто'бусного,"#__m, ",авто'бусную,,авто'бусное,,авто'бусные/авто'бусных,"#__m, ",авто'бусным,,авто'бусной/авто'бусною,"#__m, ",авто'бусным,,авто'бусными,,авто'бусном,,авто'бусной,,авто'бусном,,авто'бусных,,авто'бусен,"#i__, irreg_decl:0",авто'бусна,,авто'бусно,,авто'бусны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
авторский,а'вторский,кий,"copyright; authorial, author",False,,а'вторский,,а'вторская,,а'вторское,,а'вторские,,а'вторского,,а'вторской,,а'вторского,,а'вторских,,а'вторскому,,а'вторской,,а'вторскому,,а'вторским,,а'вторский/а'вторского,"#__m, ",а'вторскую,,а'вторское,,а'вторские/а'вторских,"#__m, ",а'вторским,,а'вторской/а'вторскою,"#__m, ",а'вторским,,а'вторскими,,а'вторском,,а'вторской,,а'вторском,,а'вторских,,а'вторск,,а'вторска,,а'вторско,,а'вторски,,,,,,,,"acc_m,acc_pl,inst_f"
агглютинативный,агглютинати'вный,ный,agglutinative,,,агглютинати'вный,,агглютинати'вная,,агглютинати'вное,,агглютинати'вные,,агглютинати'вного,,агглютинати'вной,,агглютинати'вного,,агглютинати'вных,,агглютинати'вному,,агглютинати'вной,,агглютинати'вному,,агглютинати'вным,,агглютинати'вный/агглютинати'вного,"#__m, ",агглютинати'вную,,агглютинати'вное,,агглютинати'вные/агглютинати'вных,"#__m, ",агглютинати'вным,,агглютинати'вной/агглютинати'вною,"#__m, ",агглютинати'вным,,агглютинати'вными,,агглютинати'вном,,агглютинати'вной,,агглютинати'вном,,агглютинати'вных,,агглютинати'вен,"#i__, irreg_decl:0",агглютинати'вна,,агглютинати'вно,,агглютинати'вны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
азиатский,азиа'тский,кий,"Asian, Asiatic",False,,азиа'тский,,азиа'тская,,азиа'тское,,азиа'тские,,азиа'тского,,азиа'тской,,азиа'тского,,азиа'тских,,азиа'тскому,,азиа'тской,,азиа'тскому,,азиа'тским,,азиа'тский/азиа'тского,"#__m, ",азиа'тскую,,азиа'тское,,азиа'тские/азиа'тских,"#__m, ",азиа'тским,,азиа'тской/(азиа'тскою),"#__m, ",азиа'тским,,азиа'тскими,,азиа'тском,,азиа'тской,,азиа'тском,,азиа'тских,,,,,,азиа'тско,,,,,,,,,,"acc_m,acc_pl,inst_f"
активный,акти'вный,ный,active,False,,акти'вный,,акти'вная,,акти'вное,,акти'вные,,акти'вного,,акти'вной,,акти'вного,,акти'вных,,акти'вному,,акти'вной,,акти'вному,,акти'вным,,акти'вный/акти'вного,"#__m, ",акти'вную,,акти'вное,,акти'вные/акти'вных,"#__m, ",акти'вным,,акти'вной/(акти'вною),"#__m, ",акти'вным,,акти'вными,,акти'вном,,акти'вной,,акти'вном,,акти'вных,,акти'вен,"#i__, irreg_decl:0",акти'вна,,акти'вно,,акти'вны,,активне'е,"#_a_, accent_chg:0",активне'йший,"#_a_, accent_chg:0",short_m:0,"comparative:0,superlative:0","acc_m,acc_pl,inst_f"
актуальный,актуа'льный,ный,relevant; current topical,False,,актуа'льный,,актуа'льная,,актуа'льное,,актуа'льные,,актуа'льного,,актуа'льной,,актуа'льного,,актуа'льных,,актуа'льному,,актуа'льной,,актуа'льному,,актуа'льным,,актуа'льный/актуа'льного,"#__m, ",актуа'льную,,актуа'льное,,актуа'льные/актуа'льных,"#__m, ",актуа'льным,,актуа'льной/(актуа'льною),"#__m, ",актуа'льным,,актуа'льными,,актуа'льном,,актуа'льной,,актуа'льном,,актуа'льных,,актуа'лен,"#i__, irreg_decl:0",актуа'льна,,актуа'льно,,актуа'льны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
американский,америка'нский,кий,American,,,америка'нский,,америка'нская,,америка'нское,,америка'нские,,америка'нского,,америка'нской,,америка'нского,,америка'нских,,америка'нскому,,америка'нской,,америка'нскому,,америка'нским,,америка'нский/америка'нского,"#__m, ",америка'нскую,,америка'нское,,америка'нские/америка'нских,"#__m, ",америка'нским,,америка'нской/(америка'нскою),"#__m, ",америка'нским,,америка'нскими,,америка'нском,,америка'нской,,америка'нском,,америка'нских,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
английский,англи'йский,кий,"English, British",,,англи'йский,,англи'йская,,англи'йское,,англи'йские,,англи'йского,,англи'йской,,англи'йского,,англи'йских,,англи'йскому,,англи'йской,,англи'йскому,,англи'йским,,англи'йский/англи'йского,"#__m, ",англи'йскую,,англи'йское,,англи'йские/англи'йских,"#__m, ",англи'йским,,англи'йской/(англи'йскою),"#__m, ",англи'йским,,англи'йскими,,англи'йском,,англи'йской,,англи'йском,,англи'йских,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
апельсиновый,апельси'новый,вый,Adjective of апельсин,,,апельси'новый,,апельси'новая,,апельси'новое,,апельси'новые,,апельси'нового,,апельси'новой,,апельси'нового,,апельси'новых,,апельси'новому,,апельси'новой,,апельси'новому,,апельси'новым,,апельси'новый/апельси'нового,"#__m, ",апельси'новую,,апельси'новое,,апельси'новые/апельси'новых,"#__m, ",апельси'новым,,апельси'новой/апельси'новою,"#__m, ",апельси'новым,,апельси'новыми,,апельси'новом,,апельси'новой,,апельси'новом,,апельси'новых,,апельси'нов,,апельси'нова,,апельси'ново,,апельси'новы,,,,,,,,"acc_m,acc_pl,inst_f"
арабский,ара'бский,кий,"Arab, Arabian, Arabic",,,ара'бский,,ара'бская,,ара'бское,,ара'бские,,ара'бского,,ара'бской,,ара'бского,,ара'бских,,ара'бскому,,ара'бской,,ара'бскому,,ара'бским,,ара'бский/ара'бского,"#__m, ",ара'бскую,,ара'бское,,ара'бские/ара'бских,"#__m, ",ара'бским,,ара'бской/(ара'бскою),"#__m, ",ара'бским,,ара'бскими,,ара'бском,,ара'бской,,ара'бском,,ара'бских,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
