bare_form,accented_form,last_letter,gender,translations,is_animate,is_indeclinable,is_sg_only,is_pl_only,partner,usage,nom_sg,nom_sg_tags,nom_pl,nom_pl_tags,gen_sg,gen_sg_tags,gen_pl,gen_pl_tags,dat_sg,dat_sg_tags,dat_pl,dat_pl_tags,acc_sg,acc_sg_tags,acc_pl,acc_pl_tags,inst_sg,inst_sg_tags,inst_pl,inst_pl_tags,prep_sg,prep_sg_tags,prep_pl,prep_pl_tags,irreg_decl,accent_chg,multi_vars
MP3-плеер,MP3-пле'ер,р,m,,False,False,False,False,,,MP3-пле'ер,,MP3-пле'еры,,MP3-пле'ера,,MP3-пле'еров,,MP3-пле'еру,,MP3-пле'ерам,,MP3-пле'ер,,MP3-пле'еры,,MP3-пле'ером,,MP3-пле'ерами,,MP3-пле'ере,,MP3-пле'ерах,,,,
август,а'вгуст,т,m,August,False,False,False,False,,,а'вгуст,,а'вгусты,,а'вгуста,,а'вгустов,,а'вгусту,,а'вгустам,,а'вгуст,,а'вгусты,,а'вгустом,,а'вгустами,,а'вгусте,,а'вгустах,,,,
автобус,авто'бус,с,m,"bus, coach",False,False,False,False,,,авто'бус,,авто'бусы,,авто'буса,,авто'бусов,,авто'бусу,,авто'бусам,,авто'бус,,авто'бусы,,авто'бусом,,авто'бусами,,авто'бусе,,авто'бусах,,,,
автор,а'втор,р,m,"author, authoress, writer, composer, begetter",True,False,False,False,,,а'втор,,а'вторы,,а'втора,,а'второв,,а'втору,,а'вторам,,а'втора,,а'второв,,а'втором,,а'вторами,,а'вторе,,а'вторах,,,,
ага,а'га,а,f,cane toad,True,False,False,False,,,а'га,,а'ги,,а'ги,,а'г,,а'ге,,а'гам,,а'гу,,а'г,,а'гой/а'гою,"#__m, ",а'гами,,а'ге,,а'гах,,,,inst_sg
адвокат,адвока'т,т,m,"advocate, counsellor,; lawyer, attorney, barrister, solicitor,",True,False,False,False,адвока́тша,,адвока'т,,адвока'ты,,адвока'та,,адвока'тов,,адвока'ту,,адвока'там,,адвока'та,,адвока'тов,,адвока'том,,адвока'тами,,адвока'те,,адвока'тах,,,,
адрес,а'дрес,с,m,"address; towards, directed at",False,False,False,False,,,а'дрес,,адреса',"#ia_, irreg_decl:0, accent_chg:0",а'дреса,,адресо'в,"#_a_, accent_chg:0",а'дресу,,адреса'м,"#_a_, accent_chg:0",а'дрес,,адреса',"#ia_, irreg_decl:0, accent_chg:0",а'дресом,,адреса'ми,"#_a_, accent_chg:0",а'дресе,,адреса'х,"#_a_, accent_chg:0","nom_pl:0,acc_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",
академия,акаде'мия,я,f,academy,False,False,False,False,,,акаде'мия,,акаде'мии,,акаде'мии,,акаде'мий,,акаде'мии,,акаде'миям,,акаде'мию,,акаде'мии,,акаде'мией/акаде'миею,"#__m, ",акаде'миями,,акаде'мии,,акаде'миях,,,,inst_sg
аккорд,акко'рд,д,m,chord,False,False,False,False,,,акко'рд,,акко'рды,,акко'рда,,акко'рдов,,акко'рду,,акко'рдам,,акко'рд,,акко'рды,,акко'рдом,,акко'рдами,,акко'рде,,акко'рдах,,,,
актриса,актри'са,а,f,actress,True,False,False,False,актёр,,актри'са,,актри'сы,,актри'сы,,актри'с,,актри'се,,актри'сам,,актри'су,,актри'с,,актри'сой/актри'сою,"#__m, ",актри'сами,,актри'се,,актри'сах,,,,inst_sg
актёр,актё'р,р,m,"actor, player",True,False,False,False,актри'са,,актё'р,,актё'ры,,актё'ра,,актё'ров,,актё'ру,,актё'рам,,актё'ра,,актё'ров,,актё'ром,,актё'рами,,актё'ре,,актё'рах,,,,
