infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
бегать,бе'гать,бега,ть,imperfective,побегать,е-conj,,,,,,,,,,,,
бежать,бежа'ть,бежа,ть,imperfective,побежать,*и-conj,(*) бегу',,,,,(*) бегу'т,(*) беги',(*) беги'те,,,,
беречь,бере'чь,бере,чь,imperfective,"сберечь,уберечь",е-conj,(*) берегу',(*) бережёшь,(*) бережёт,(*) бережём,(*) бережёте,(*) берегу'т,(*) береги',(*) береги'те,(*) берёг,(*) берегла',(*) берегло',(*) берегли'
брать,бра'ть,бра,ть,imperfective,взять;побрать,е-conj,(*) беру',(*) берёшь,(*) берёт,(*) берём,(*) берёте,(*) беру'т,(*) бери',(*) бери'те,,(') брала',,
беспокоиться,беспоко'иться,беспокои,ться,imperfective,побеспокоиться;забеспокоиться;обеспокоиться,и-conj,,,,,,,,,,,,
благодарить,благодари'ть,благодари,ть,imperfective,"поблагодарить,отблагодарить",и-conj,,,,,,,,,,,,
бояться,боя'ться,боя,ться,imperfective,побояться;забояться,*и-conj,,,,,,,(') бо'йся,(') бо'йтесь,,,,
болеть,боле'ть,боле,ть,imperfective,-,е-conj,,,(*) боли'т,,,(*) боля'т,,,,,,
бриться,бри'ться,бри,ться,imperfective,побриться,*е-conj,(*) бре'юсь,(*) бре'ешься,(*) бре'ется,(*) бре'емся,(*) бре'етесь,(*) бре'ются,(*) бре'йся,(*) бре'йтесь,,,,
бросать,броса'ть,броса,ть,imperfective,бросить,е-conj,,,,,,,,,,,,
бросить,бро'сить,броси,ть,perfective,бросать,и-conj,(*) бро'шу,,,,,,,,,,,
быть,бы'ть,бы,ть,imperfective,,?,(*) есть,(*) есть,(*) есть,(*) есть,(*) есть,(*) есть,(*) бу'дь,(*) бу'дьте,,(') была',,
варить,вари'ть,вари,ть,imperfective,сварить,и-conj,,(') ва'ришь,(') ва'рит,(') ва'рим,(') ва'рите,(') ва'рят,,,,,,
вести,вести',вес,ти,imperfective,повести,е-conj,(*) веду',(*) ведёшь,(*) ведёт,(*) ведём,(*) ведёте,(*) веду'т,(*) веди',(*) веди'те,(*) вёл,(*) вела',(*) вело',(*) вели'
верить,ве'рить,вери,ть,imperfective,поверить,и-conj,,,,,,,,,,,,
вернуться,верну'ться,верну,ться,perfective,возвращаться,е-conj,(*) верну'сь,(*) вернёшься,(*) вернётся,(*) вернёмся,(*) вернётесь,(*) верну'тся,(*) верни'сь,(*) верни'тесь,,,,
весить,ве'сить,веси,ть,imperfective,-,и-conj,(*) ве'шу,,,,,,,,,,,
взять,взя'ть,взя,ть,perfective,брать,е-conj,(*) возьму',(*) возьмёшь,(*) возьмёт,(*) возьмём,(*) возьмёте,(*) возьму'т,(*) возьми',(*) возьми'те,,(') взяла',(') взяло',
видеть,ви'деть,виде,ть,imperfective,увидеть,*и-conj,(*) ви'жу,,,,,,,,,,,
висеть,висе'ть,висе,ть,imperfective,повисеть,*и-conj,(*) вишу',,,,,,,,,,,
включить,включи'ть,включи,ть,perfective,включать,и-conj,,,,,,,,,,,,
возвращаться,возвраща'ться,возвраща,ться,imperfective,верну'ться,е-conj,,,,,,,,,,,,
войти,войти',вой,ти,perfective,входить,е-conj,(*) войду',(*) войдёшь,(*) войдёт,(*) войдём,(*) войдёте,(*) войду'т,(*) войди',(*) войди'те,(*) вошёл,(*) вошла',(*) вошло',(*) вошли'
восстановить,восстанови'ть,восстанови,ть,perfective,восстанавливать,и-conj,,(') восстано'вишь,(') восстано'вит,(') восстано'вим,(') восстано'вите,(') восстано'вят,(*) восстанови',(*) восстанови'те,(') восстанови'л,(') восстанови'ла,(') восстанови'ло,(') восстанови'ли
вставать,встава'ть,встава,ть,imperfective,встать,е-conj,(*) встаю',(*) встаёшь,(*) встаёт,(*) встаём,(*) встаёте,(*) встаю'т,,,,,,
вставить,вста'вить,встави,ть,perfective,вставлять,и-conj,,,,,,,,,,,,
встать,вста'ть,вста,ть,perfective,вставать,е-conj,(*) вста'ну,(*) вста'нешь,(*) вста'нет,(*) вста'нем,(*) вста'нете,(*) вста'нут,(*) вста'нь,(*) вста'ньте,,,,
встретить,встре'тить,встрети,ть,perfective,встречать,и-conj,(*) встре'чу,,,,,,,,,,,
встретиться,встре'титься,встрети,ться,perfective,встречаться,и-conj,(*) встре'чусь,,,,,,,,,,,
встречаться,встреча'ться,встреча,ться,imperfective,встретиться,е-conj,,,,,,,,,,,,
выбрать,вы'брать,выбра,ть,perfective,выбирать,е-conj,(*) вы'беру,(*) вы'берешь,(*) вы'берет,(*) вы'берем,(*) вы'берете,(*) вы'берут,(*) вы'бери,(*) вы'берите,,,,
выглядеть,вы'глядеть,выгляде,ть,perfective,выглядывать,*и-conj,(*) вы'гляжу,,,,,,(*) вы'гляди,(*) вы'глядите,,,,
выиграть,вы'играть,выигра,ть,perfective,выигрывать,е-conj,,,,,,,,,,,,
выйти,вы'йти,вый,ти,perfective,выходить,е-conj,(*) вы'йду,(*) вы'йдешь,(*) вы'йдет,(*) вы'йдем,(*) вы'йдете,(*) вы'йдут,(*) вы'йди,(*) вы'йдите,(*) вы'шел,(*) вы'шла,(*) вы'шло,(*) вы'шли
выключить,вы'ключить,выключи,ть,perfective,выключать,и-conj,,,,,,,(*) вы'ключи,(*) вы'ключите,,,,
