infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
бежать,бежа'ть,беж,ать,imperfective,побежать,*и-conj,*бегу',бежи'шь,бежи'т,бежи'м,бежи'те,*бегу'т,*беги',*беги'те,бежа'л,бежа'ла,бежа'ло,бежа'ли
побежать,побежа'ть,побеж,ать,perfective,бежать,*и-conj,*побегу',побежи'шь,побежи'т,побежи'м,побежи'те,*побегу'т,*побеги',*побеги'те,побежа'л,побежа'ла,побежа'ло,побежа'ли
брать,бра'ть,бр,ать,imperfective,взять;побрать,е-conj,*беру',*берёшь,*берёт,*берём,*берёте,*беру'т,*бери',*бери'те,бра'л,~брала',бра'ло,бра'ли
взять,взя'ть,вз,ять,perfective,брать,е-conj,*возьму',*возьмёшь,*возьмёт,*возьмём,*возьмёте,*возьму'т,*возьми',*возьми'те,взя'л,~взяла',~взяло',взя'ли
бросать,броса'ть,брос,ать,imperfective,бросить,е-conj,броса'ю,броса'ешь,броса'ет,броса'ем,броса'ете,броса'ют,броса'й,броса'йте,броса'л,броса'ла,броса'ло,броса'ли
бросить,бро'сить,брос,ить,perfective,бросать,и-conj,*бро'шу,бро'сишь,бро'сит,бро'сим,бро'сите,бро'сят,бро'сь,бро'сьте,бро'сил,бро'сила,бро'сило,бро'сили
варить,вари'ть,вар,ить,imperfective,сварить,и-conj,варю',~ва'ришь,~ва'рит,~ва'рим,~ва'рите,~ва'рят,вари',вари'те,вари'л,вари'ла,вари'ло,вари'ли
сварить,свари'ть,свар,ить,perfective,"варить,сваривать",и-conj,сварю',~сва'ришь,~сва'рит,~сва'рим,~сва'рите,~сва'рят,свари',свари'те,свари'л,свари'ла,свари'ло,свари'ли
видеть,ви'деть,вид,еть,imperfective,увидеть,*и-conj,*ви'жу,ви'дишь,ви'дит,ви'дим,ви'дите,ви'дят,ви'дь,ви'дьте,ви'дел,ви'дела,ви'дело,ви'дели
увидеть,уви'деть,увид,еть,perfective,видеть,*и-conj,*уви'жу,уви'дишь,уви'дит,уви'дим,уви'дите,уви'дят,уви'дь,уви'дьте,уви'дел,уви'дела,уви'дело,уви'дели
вставать,встава'ть,встав,ать,imperfective,встать,е-conj,встаю',встаёшь,встаёт,встаём,встаёте,встаю'т,встава'й,встава'йте,встава'л,встава'ла,встава'ло,встава'ли
встать,вста'ть,вст,ать,perfective,вставать,е-conj,*вста'ну,*вста'нешь,*вста'нет,*вста'нем,*вста'нете,*вста'нут,*вста'нь,*вста'ньте,вста'л,вста'ла,вста'ло,вста'ли
встречаться,встреча'ться,встреч,аться,imperfective,встретиться,е-conj,встреча'юсь,встреча'ешься,встреча'ется,встреча'емся,встреча'етесь,встреча'ются,встреча'йся,встреча'йтесь,встреча'лся,встреча'лась,встреча'лось,встреча'лись
встретиться,встре'титься,встрет,иться,perfective,встречаться,и-conj,*встре'чусь,встре'тишься,встре'тится,встре'тимся,встре'титесь,встре'тятся,встре'ться,встре'тьтесь,встре'тился,встре'тилась,встре'тилось,встре'тились
выступать,выступа'ть,выступ,ать,imperfective,выступить,е-conj,выступа'ю,выступа'ешь,выступа'ет,выступа'ем,выступа'ете,выступа'ют,выступа'й,выступа'йте,выступа'л,выступа'ла,выступа'ло,выступа'ли
выступить,вы'ступить,выступ,ить,perfective,выступать,и-conj,вы'ступлю,вы'ступишь,вы'ступит,вы'ступим,вы'ступите,вы'ступят,вы'ступи,вы'ступите,вы'ступил,вы'ступила,вы'ступило,вы'ступили
говорить,говори'ть,говор,ить,imperfective,сказать;поговорить,и-conj,говорю',говори'шь,говори'т,говори'м,говори'те,говоря'т,говори',говори'те,говори'л,говори'ла,говори'ло,говори'ли
сказать,сказа'ть,сказ,ать,perfective,говорить;ска'зывать,е-conj,*скажу',*ска'жешь,*ска'жет,*ска'жем,*ска'жете,*ска'жут,*скажи',*скажи'те,сказа'л,сказа'ла,сказа'ло,сказа'ли
поговорить,поговори'ть,поговор,ить,perfective,говорить;поговаривать,и-conj,поговорю',поговори'шь,поговори'т,поговори'м,поговори'те,поговоря'т,поговори',поговори'те,поговори'л,поговори'ла,поговори'ло,поговори'ли
готовить,гото'вить,готов,ить,imperfective,приготовить;подготовить;заготовить,и-conj,гото'влю,гото'вишь,гото'вит,гото'вим,гото'вите,гото'вят,гото'вь,гото'вьте,гото'вил,гото'вила,гото'вило,гото'вили
приготовить,пригото'вить,приготов,ить,perfective,"готовить,приготовлять,приготавливать",и-conj,пригото'влю,пригото'вишь,пригото'вит,пригото'вим,пригото'вите,пригото'вят,пригото'вь,пригото'вьте,пригото'вил,пригото'вила,пригото'вило,пригото'вили
давать,дава'ть,дав,ать,imperfective,дать,е-conj,даю',даёшь,даёт,даём,даёте,даю'т,дава'й,дава'йте,дава'л,дава'ла,дава'ло,дава'ли
дать,да'ть,д,ать,perfective,давать,unknown,*да'м,*да'шь,*да'ст,*дади'м,*дади'те,*даду'т,*да'й,*да'йте,да'л,~дала',~дало',да'ли
делать,де'лать,дел,ать,imperfective,сделать;поделать,е-conj,де'лаю,де'лаешь,де'лает,де'лаем,де'лаете,де'лают,де'лай,де'лайте,де'лал,де'лала,де'лало,де'лали
сделать,сде'лать,сдел,ать,perfective,делать,е-conj,сде'лаю,сде'лаешь,сде'лает,сде'лаем,сде'лаете,сде'лают,сде'лай,сде'лайте,сде'лал,сде'лала,сде'лало,сде'лали
думать,ду'мать,дум,ать,imperfective,подумать,е-conj,ду'маю,ду'маешь,ду'мает,ду'маем,ду'маете,ду'мают,ду'май,ду'майте,ду'мал,ду'мала,ду'мало,ду'мали
подумать,поду'мать,подум,ать,perfective,думать,е-conj,поду'маю,поду'маешь,поду'мает,поду'маем,поду'маете,поду'мают,поду'май,поду'майте,поду'мал,поду'мала,поду'мало,поду'мали
ехать,е'хать,ех,ать,imperfective,поехать;е'здить,е-conj,*е'ду,*е'дешь,*е'дет,*е'дем,*е'дете,*е'дут,*езжа'й,*езжа'йте,е'хал,е'хала,е'хало,е'хали
поехать,пое'хать,поех,ать,perfective,ехать,е-conj,*пое'ду,*пое'дешь,*пое'дет,*пое'дем,*пое'дете,*пое'дут,*поезжа'й,*поезжа'йте,пое'хал,пое'хала,пое'хало,пое'хали
есть,е'сть,,,imperfective,съесть;поесть,е-conj,*е'м,*е'шь,*е'ст,*еди'м,*еди'те,*едя'т,*е'шь,*е'шьте,*е'л,*е'ла,*е'ло,*е'ли
съесть,съе'сть,,,perfective,"есть,съедать",е-conj,*съе'м,*съе'шь,*съе'ст,*съеди'м,*съеди'те,*съедя'т,*съе'шь,*съе'шьте,*съе'л,*съе'ла,*съе'ло,*съе'ли
поесть,пое'сть,,,perfective,"есть,поедать",е-conj,*пое'м,*пое'шь,*пое'ст,*поеди'м,*поеди'те,*поедя'т,*пое'шь,*пое'шьте,*пое'л,*пое'ла,*пое'ло,*пое'ли
ждать,жда'ть,жд,ать,imperfective,подождать,е-conj,*жду',*ждёшь,*ждёт,*ждём,*ждёте,*жду'т,*жди',*жди'те,жда'л,~ждала',жда'ло,жда'ли
подождать,подожда'ть,подожд,ать,perfective,ждать,е-conj,*подожду',*подождёшь,*подождёт,*подождём,*подождёте,*подожду'т,*подожди',*подожди'те,подожда'л,~подождала',подожда'ло,подожда'ли
завтракать,за'втракать,завтрак,ать,imperfective,позавтракать,е-conj,за'втракаю,за'втракаешь,за'втракает,за'втракаем,за'втракаете,за'втракают,за'втракай,за'втракайте,за'втракал,за'втракала,за'втракало,за'втракали
позавтракать,поза'втракать,позавтрак,ать,perfective,завтракать,е-conj,поза'втракаю,поза'втракаешь,поза'втракает,поза'втракаем,поза'втракаете,поза'втракают,поза'втракай,поза'втракайте,поза'втракал,поза'втракала,поза'втракало,поза'втракали
заказывать,зака'зывать,заказыв,ать,imperfective,заказать,е-conj,зака'зываю,зака'зываешь,зака'зывает,зака'зываем,зака'зываете,зака'зывают,зака'зывай,зака'зывайте,зака'зывал,зака'зывала,зака'зывало,зака'зывали
заказать,заказа'ть,заказ,ать,perfective,заказывать,е-conj,*закажу',*зака'жешь,*зака'жет,*зака'жем,*зака'жете,*зака'жут,*закажи',*закажи'те,заказа'л,заказа'ла,заказа'ло,заказа'ли
заканчивать,зака'нчивать,заканчив,ать,imperfective,закончить,е-conj,зака'нчиваю,зака'нчиваешь,зака'нчивает,зака'нчиваем,зака'нчиваете,зака'нчивают,зака'нчивай,зака'нчивайте,зака'нчивал,зака'нчивала,зака'нчивало,зака'нчивали
